日期,賣權成交量,買權成交量,putcalldeal,賣權未平倉量,買權未平倉量,putcallnot
2018/11/21,582418,543829,107.1,187310,145613,128.64
2018/11/20,379310,411934,92.08,453747,436557,103.94
2018/11/19,259623,217375,119.44,445526,399081,111.64
2018/11/16,307950,340972,90.32,423610,382042,110.88
2018/11/15,336484,290558,115.81,402435,351437,114.51
2018/11/14,499651,442922,112.81,351117,321971,109.05
2018/11/13,556447,526723,105.64,434737,437776,99.31
2018/11/12,332784,285297,116.64,419526,400799,104.67
2018/11/9,295023,336996,87.54,379768,380467,99.82
2018/11/8,286471,285737,100.26,358404,335654,106.78
2018/11/7,537806,495435,108.55,312190,287999,108.4
2018/11/6,280484,293215,95.66,397757,382758,103.92
2018/11/5,325712,344326,94.59,367854,355243,103.55
2018/11/2,297886,315471,94.43,345203,323968,106.55
2018/11/1,232133,284783,81.51,309860,314073,98.66
2018/10/31,667241,650748,102.53,266155,274624,96.92
2018/10/30,382411,376908,101.46,353448,408778,86.46
2018/10/29,356944,361747,98.67,323273,391240,82.63
2018/10/26,389312,445175,87.45,292621,365926,79.97
2018/10/25,366375,430070,85.19,261215,318105,82.12
2018/10/24,834657,889568,93.83,225478,239590,94.11
2018/10/23,437197,512058,85.38,312533,361110,86.55
2018/10/22,374322,409955,91.31,289993,300809,96.4
